Eng,Ja
rough, 荒い
loud, うるさい
stretch, 伸張
food, 食べ物
owner, 持主
boat, 小船
structure, 構造
high, 高い
drawer, 引き出し
government, 統治すること
jelly, ゼリー化する
button, ボタン
reaction, 反応
white, 白い
rate, 割合
screw, ねじる
group, 集まり
foolish, おろかな
talk, 話す
sort, 分類する
liquid, 液体
to, ～へ
normal, 正常な
week, 週
station, 駅
kiss, くちづけ
ever, つねに
office, オフィス
pump, 注入する
bird, 鳥
spoon, スプーン
material, 実質的
society, 世界
leaf, 葉っぱ
ornament, 装飾
line, 線
safe, 安全な
fear, 恐怖
separate, 分かれた
goat, 山羊
gun, 銃
gray, 灰色の
card, カード
print, 印刷
great, 偉大な
regret, 惜しむ
loose, なまけた
judge, 判断する
male, 男性
dear, 親愛な
brain, 頭脳
will, するつもりだ
paint, 色つけ
approval, 賛成
send, 送る
make, 作る
map, 地図
bit, かけら
with, いっしょに
surprise, 驚き
fiction, 作り話
skirt, スカート
growth, 成長
then, それから
east, 東
dependent, 依存した
hard, 必死に
self, 自分
tired, 疲れた
journey, 旅行
hollow, 空っぽな
year, 年
so, 現に
minute, 分
music, ミュージック
sudden, 急激
doubt, 怪しむ
clear, 明るい
sponge, スポンジ
face, 顔
plate, 平皿
table, テーブル
rice, おコメ
attack, 攻める
well, よく
north, 北
interest, 気晴らし
church, 教会
among, ～の間に
some, いくつかの
secretary, 事務官
driving, 運転
comparison, 比較
war, 戦争
trouble, 故障
form, 形姿
shirt, シャツ
amusement, 楽しみ
cloud, 雲
stiff, こわばった
grass, 芝生
heart, こころ
fact, 事実
take, 取る
balance, バランスをとる
rest, 休む
late, 遅れた
short, 短い
married, 結婚している
wine, ワイン
noise, 騒ぐ
